# =================================================
# Logitech stuff
# =================================================

logitech_num_DG                                  Multiwinianos seleccionados:
logitech_alert                                   ¡Alerta!
logitech_logo                                    Multiwinia
logitech_blurb                                   La supervivencia del más plano

# =================================================
# Errors
# =================================================

error                                            Error
error_incompatible                               Darwinia: Vista Edition es compatible solamente con Windows Vista.\nPor favor, visita http://www.darwinia.co.uk para encontrar una versión compatible de Darwinia.\n¿Deseas visitar http://www.darwinia.co.uk ahora?
error_parental                                   La Configuración Actual del Control Parental no permitirá jugar a Darwinia: Vista Edition
darwinia_vistaedition                            Darwinia: Vista Edition

# =================================================
# About Darwinia
# =================================================

about_darwinia                                   Sobre Darwinia

# ================================================
# Game controller actions
# ================================================

gc_select                                        Seleccionar
gc_destroy                                       Destruir
gc_create                                        Crear
gc_close                                         Cerrar
gc_deselect                                      Cancelar Selección
gc_place                                         Situar
gc_promote                                       Ascender
gc_move                                          Mover
gc_aim                                           Mirar
gc_fire                                          Disparar
gc_grenade                                       Granada
gc_rocket                                        Misil
gc_airstrike                                     Ataque Aéreo
gc_changeweapon                                  Cambiar de Arma
gc_changeorders                                  Cambiar de Órdenes
gc_cameraup                                      Arriba
gc_cameradown                                    Abajo
gc_setgoto                                       Establecer Ir A
gc_setturret                                     Establecer Cañón
gc_prev                                          Anterior
gc_next                                          Siguiente
gc_rotateleft                                    Girar a la Izquierda
gc_rotateright                                   Girar a la Derecha
gc_zoom                                          Zoom
gc_zoomin                                        Acercar imagen
gc_zoomout                                       Alejar imagen
gc_radaraim                                      Apuntar
gc_cancel                                        Cancelar


# ================================================
# Key names
# ================================================

control_alt                                      ALT
control_asterisk                                 (
control_at                                       "
control_backslash                                ç
control_backspace                                RETROCESO
control_capslock                                 BLOQ MAYÚS
control_comma                                    COMA
control_control                                  CTRL
control_del                                      Supr
control_end                                      Fin
control_enter                                    Enter
control_equals                                   ¡
control_esc                                      Esc
control_home                                     Inicio
control_insert                                   Insert
control_minus                                    '
control_pause                                    PAUSA
control_pgdn                                     AVPÁG
control_pgup                                     REPÁG
control_quote                                    DIÉRESIS
control_shift                                    Mayús
control_slash                                    -
control_space                                    Espacio
control_stop                                     .
control_tab                                      TAB
control_tilde                                    ª

control_left                                     Izquierda
control_right                                    Derecha
control_up                                       Arriba
control_down                                     Abajo

control_plus_pad                                 NUM_+
control_minus_pad                                NUM_-
control_del_pad                                  NUM_SUPR
control_slash_pad                                NUM_/

control_numlock                                  BLOQNUM
control_scrlock                                  BLOQDESPL

control_openbrace                                ^
control_closebrace                               *

# =================================================
# CONTROL EVENTS
# Used in "Main Menu -> Options -> Control Options"
# =================================================

control_event_left                               Izquierda
control_event_right                              Derecha
control_event_forwards                           Adelante
control_event_backwards                          Atrás
control_event_up                                 Arriba
control_event_down                               Abajo
control_event_zoom                               Zoom
control_event_deselect                           Cancelar Selección
control_event_chatlog                            Registro del Chat
control_event_skipmessage                        Saltar Mensaje
control_event_iconstaskmanagerdisplay            Mostrar Administrador de Tareas
control_event_iconstaskmanagerendtask            Finalizar Tarea
control_event_iconschatlog                       Registro del Chat
control_event_unitmove                           Movimiento de Unidades
control_event_unitprimaryfire                    Disparo Principal de Unidades
control_event_unitsecondaryfire                  Disparo Secundario de Unidades
control_event_taskmanagerdisplay                 Mostrar Administrador de Tareas
control_event_taskmanagerswitchtask              Cambiar de Tarea
control_event_taskmanagerendtask                 Finalizar Tarea


# =================================================
# 360 Control Help
# =================================================

control_help_move                                Mover Unidad
control_help_lasers                              Disparar Láseres
control_help_cameramove                          Mover Cámara
control_help_cameraturn                          Girar Cámara
control_help_directmovecam                       Mover Cámara
control_help_cameraup                            Cámara Arriba (Pulsar)
control_help_cameradown                          Cámara Abajo (Pulsar)
control_help_quickunitstart                      Abrir el Administrador de Tareas
control_help_quickunitcreate                     Crear Unidad
control_help_quickunitplace                      Situar Unidad
control_help_endtask                             Cerrar Tarea
control_help_radar                               Apuntar Radar
control_help_fireturret                          Disparar Cañones
control_help_deselect                            Cancelar Selección de Unidad
control_help_confirm                             Confirmar / Seleccionar
control_help_next                                Unidad Siguiente
control_help_previous                            Unidad Anterior
control_help_secondaryaim                        Apuntar (Mantener Pulsado)
control_help_secondaryfire                       Disparar
control_help_changesecondary                     Cambiar de Arma
control_help_officergoto                         Establecer Ir A
control_help_officermode                         Cambiar de Modo
control_help_armourturret                        Soltar Cañón
control_help_armourmode                          Modo Recoger/Soltar
control_help_camerarotateleft                    Mirar a la izquierda
control_help_camerarotateright                   Mirar a la derecha



# ================================================
# Help strings
# ================================================

help_camera_movement_kbd                         Mueve la cámara de un lugar a otro utilizando las teclas [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] y [KEYCAMERARIGHT]. Puedes controlar la altura de la cámara haciendo girar la rueda del ratón, o utilizando las teclas [KEYCAMERAUP] y [KEYCAMERADOWN].
help_camera_movement_xin                         Mueve la cámara de un lugar a otro.
help_camera_height_kbd                           Si dispones de un botón central en el ratón, puedes moverlo para modificar la altura de la cámara. También es posible utilizar las teclas [KEYCAMERAUP] y [KEYCAMERADOWN] para ir hacia arriba o hacia abajo.
help_camera_zoom_kbd                             Si dispones de un botón central en el ratón, púlsalo para acercar la cámara. También es posible utilizar la tecla [KEYCAMERAZOOM].
help_camera_movefast_kbd                         Puedes conseguir que la cámara se desplace a más velocidad manteniendo pulsada la tecla [KEYCAMERASPEEDUP] mientras te estás moviendo.
