MultiwiniaOptions_StartDefinition
	GameTypes	Assault 
	PopulationCap	5000
	DefenderPopulationCap	1500
	NumPlayers	2
	LevelOptions	trunkportreinforcements 125	
	InvalidCrates	Squad	Airstrike	Nuke	Meteor	
	Difficulty	basic
	AttackingTeams	1 
	OfficialLevel
	PlayTime 20
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 2000
	worldSizeZ 2000
	cellSize 12.00
	outsideHeight -10.00
	landColourFile landscape_default.bmp
	wavesColourFile waves_default.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	 529.5   75.0  509.3  500.0
	 353.6  100.0  337.0  325.0
	1482.6   30.0 1481.4  500.0
	1481.9   30.0  496.6  500.0
	 531.8   30.0 1487.9  500.0
	1670.9   30.0 1393.6   40.0
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
          0.00   0.60   1.00     1.47   1.47   1.47
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	Wall                0       42.13   1321.69 0       -0.03   1.00    0       
	Wall                1       83.53   1322.96 0       -0.03   1.00    0       
	Wall                2       126.84  1323.36 0       -0.03   1.00    0       
	Wall                3       171.36  1324.23 0       -0.03   1.00    0       
	Wall                4       213.68  1325.06 0       -0.03   1.00    0       
	Wall                5       258.20  1325.94 0       -0.03   1.00    0       
	Wall                6       302.73  1326.81 0       -0.03   1.00    0       
	Wall                7       346.21  1327.66 0       -0.03   1.00    0       
	Wall                8       391.85  1328.55 0       -0.03   1.00    0       
	Wall                9       434.10  1329.38 0       -0.03   1.00    0       
	Wall                10      473.08  1330.14 0       -0.03   1.00    0       
	Wall                11      517.29  1331.01 0       -0.03   1.00    0       
	Wall                12      545.08  1331.55 0       -0.03   1.00    0       
	Wall                13      583.96  1332.31 0       -0.03   1.00    0       
	Wall                14      618.44  1332.99 0       -0.03   1.00    0       
	Wall                15      659.62  1333.80 0       -0.03   1.00    0       
	Wall                16      695.24  1334.50 0       -0.03   1.00    0       
	Wall                17      737.55  1335.32 0       -0.03   1.00    0       
	Wall                18      786.50  1336.28 0       -0.03   1.00    0       
	Wall                19      833.25  1337.20 0       -0.03   1.00    0       
	Wall                20      877.83  1338.08 0       -0.03   1.00    0       
	Wall                21      924.49  1338.99 0       -0.03   1.00    0             
	Wall                24      803.20  1336.61 0       -0.03   1.00    0       
	Wall                25      763.13  1335.83 0       -0.03   1.00    0             
	Wall                62      1042.28 1339.96 0       -0.03   1.00    0       
	Wall                63      1085.65 1339.87 0       -0.03   1.00    0       
	Wall                64      1130.21 1339.77 0       -0.03   1.00    0       
	Wall                65      1170.28 1339.68 0       -0.03   1.00    0       
	Wall                66      1189.21 1339.64 0       -0.03   1.00    0       
	Wall                67      38.03   995.22  0       -0.03   1.00    0       
	Wall                68      77.30   996.65  0       -0.03   1.00    0       
	Wall                69      118.48  996.76  0       -0.03   1.00    0       
	Wall                70      157.50  996.87  0       -0.03   1.00    0       
	Wall                71      200.91  996.99  0       -0.03   1.00    0       
	Wall                72      246.49  997.12  0       -0.03   1.00    0       
	Wall                73      287.66  997.23  0       -0.03   1.00    0       
	Wall                74      329.97  997.35  0       -0.03   1.00    0       
	Wall                75      375.59  997.48  0       -0.03   1.00    0            
	Wall                78      499.10  997.83  0       -0.03   1.00    0       
	Wall                79      540.40  997.94  0       -0.03   1.00    0       
	Wall                80      577.03  998.04  0       -0.03   1.00    0       
	Wall                81      618.21  998.16  0       -0.03   1.00    0       
	Wall                82      661.62  998.28  0       -0.03   1.00    0       
	Wall                83      697.24  998.38  0       -0.03   1.00    0       
	Wall                84      736.20  998.49  0       -0.03   1.00    0       
	Wall                85      772.93  998.59  0       -0.03   1.00    0       
	Wall                86      814.10  998.70  0       -0.03   1.00    0       
	Wall                87      855.29  998.82  0       -0.03   1.00    0       
	Wall                88      887.56  998.91  0       -0.03   1.00    0       
	Wall                89      923.31  999.01  0       -0.03   1.00    0       
	Wall                90      962.15  999.12  0       -0.03   1.00    0       
	Wall                91      984.49  978.16  0       1.00    0.00    0       
	Wall                93      984.67  931.49  0       1.00    0.00    0       
	Wall                94      984.66  933.72  0       1.00    0.00    0       
	Wall                95      984.80  894.76  0       1.00    0.00    0       
	Wall                96      984.94  854.55  0       1.00    0.00    0       
	Wall                97      985.11  807.91  0       1.00    0.00    0       
	Wall                98      985.10  810.13  0       1.00    0.00    0       
	Wall                99      985.24  771.14  0       1.00    0.00    0       
	Wall                100     985.36  739.98  0       1.00    0.00    0       
	Wall                101     985.50  699.90  0       1.00    0.00    0       
	Wall                102     985.64  660.96  0       1.00    0.00    0       
	Wall                103     985.79  618.65  0       1.00    0.00    0       
	Wall                104     985.94  578.58  0       1.00    0.00    0       
	Wall                105     986.09  535.17  0       1.00    0.00    0       
	Wall                106     986.24  495.10  0       1.00    0.00    0       	      
	Wall                109     986.69  370.44  0       1.00    0.00    0       
	Wall                110     986.84  328.14  0       1.00    0.00    0       
	Wall                111     986.99  284.70  0       1.00    0.00    0       
	Wall                112     987.15  241.30  0       1.00    0.00    0       
	Wall                113     987.29  202.34  0       1.00    0.00    0       
	Wall                114     987.45  157.84  0       1.00    0.00    0       
	Wall                115     987.59  118.89  0       1.00    0.00    0       
	Wall                116     987.73  79.77   0       1.00    0.00    0       
	Wall                117     987.88  39.83   0       1.00    0.00    0       
	Wall                118     987.97  14.26   0       1.00    0.00    0       
	Wall                119     52.66   672.10  0       -0.03   1.00    0           
	Wall                121     181.94  672.63  0       -0.03   1.00    0       
	Wall                122     230.92  672.61  0       -0.03   1.00    0       
	Wall                123     275.52  672.59  0       -0.03   1.00    0       
	Wall                124     209.93  672.62  0       -0.03   1.00    0       
	Wall                125     312.33  672.58  0       -0.03   1.00    0       
	Wall                126     347.95  672.57  0       -0.03   1.00    0       
	Wall                127     388.02  672.55  0       -0.03   1.00    0       
	Wall                128     431.45  672.54  0       -0.03   1.00    0       
	Wall                129     470.39  672.52  0       -0.03   1.00    0       
	Wall                130     511.57  672.51  0       -0.03   1.00    0       
	Wall                131     552.77  672.49  0       -0.03   1.00    0       
	Wall                132     592.84  672.47  0       -0.03   1.00    0       
	Wall                133     630.71  672.46  0       -0.03   1.00    0       
	Wall                134     670.74  672.44  0       -0.03   1.00    0       
	Wall                136     690.37  652.93  0       1.00    0.00    0       
	Wall                137     690.38  605.06  0       1.00    0.00    0       
	Wall                138     690.39  605.06  0       1.00    0.00    0       
	Wall                139     690.38  609.51  0       1.00    0.00    0       
	Wall                140     690.40  567.21  0       1.00    0.00    0       
	Wall                141     690.41  530.48  0       1.00    0.00    0       
	Wall                142     690.43  493.74  0       1.00    0.00    0       
	Wall                143     690.44  453.67  0       1.00    0.00    0       
	Wall                144     690.46  414.66  0       1.00    0.00    0       
	Wall                145     690.47  372.37  0       1.00    0.00    0       
	Wall                146     690.49  334.48  0       1.00    0.00    0       
	Wall                147     690.50  296.73  0       1.00    0.00    0       
	Wall                148     690.52  258.89  0       1.00    0.00    0       
	Wall                149     690.54  219.88  0       1.00    0.00    0       
	Wall                150     690.55  180.91  0       1.00    0.00    0       
	Wall                151     690.57  140.85  0       1.00    0.00    0       	      
	Wall                154     690.61  29.60   0       1.00    0.00    0            
	Wall                155     1227.48 1341.59 0       -0.03   1.00    0       
	Wall                156     1267.56 1342.18 0       -0.03   1.00    0       
	Wall                157     1309.84 1342.80 0       -0.03   1.00    0       
	Wall                158     1330.26 1324.55 0       1.00    0.00    0       
	Wall                159     1331.30 1277.68 0       1.00    0.00    0       
	Wall                160     1331.35 1282.15 0       1.00    0.00    0       
	Wall                161     1330.88 1234.28 0       1.00    0.00    0       
	Wall                162     1330.49 1192.00 0       1.00    0.00    0       
	Wall                163     1330.06 1147.48 0       1.00    0.00    0       
	Wall                164     1329.65 1105.18 0       1.00    0.00    0       	       
	Wall                167     1328.44 979.33  0       1.00    0.00    0       
	Wall                168     1328.06 939.35  0       1.00    0.00    0       
	Wall                169     1327.66 898.15  0       1.00    0.00    0       
	Wall                170     1327.28 858.08  0       1.00    0.00    0       
	Wall                171     1326.90 818.00  0       1.00    0.00    0       
	Wall                172     1326.53 778.99  0       1.00    0.00    0       
	Wall                173     1326.16 741.22  0       1.00    0.00    0       
	Wall                174     1325.77 698.92  0       1.00    0.00    0       
	Wall                175     1325.36 656.62  0       1.00    0.00    0       
	Wall                176     1324.97 616.54  0       1.00    0.00    0       
	Wall                177     1324.58 575.33  0       1.00    0.00    0       
	Wall                178     1324.22 537.54  0       1.00    0.00    0       
	Wall                179     1323.86 499.69  0       1.00    0.00    0       
	Wall                180     1323.48 460.72  0       1.00    0.00    0       
	Wall                181     1323.14 424.00  0       1.00    0.00    0       
	Wall                182     1322.79 389.49  0       1.00    0.00    0       
	Wall                183     1322.43 350.55  0       1.00    0.00    0       
	Wall                184     1322.04 311.59  0       1.00    0.00    0       
	Wall                185     1321.72 277.08  0       1.00    0.00    0       
	Wall                186     1321.37 240.35  0       1.00    0.00    0       
	Wall                187     1321.00 201.41  0       1.00    0.00    0       
	Wall                188     1320.64 163.56  0       1.00    0.00    0       
	Wall                189     1320.29 126.84  0       1.00    0.00    0       
	Wall                190     1319.95 92.28   0       1.00    0.00    0       
	Wall                191     1319.59 54.48   0       1.00    0.00    0       
	Wall                192     1319.24 17.75   0       1.00    0.00    0       
	GunTurret           26      961.04  972.07  255     0.00    1.00    0       
	GunTurret           30      969.02  328.96  255     0.00    1.00    0       
	GunTurret           28      344.80  984.32  255     0.00    1.00    0       
	GunTurret           31      224.63  552.46  255     0.00    1.00    0              
	GunTurret           32      551.06  198.37  255     0.00    1.00    0       
	WallBuster          37      1449.60 1677.77 1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0       
