MultiwiniaOptions_StartDefinition
	GameTypes	Domination 
	PopulationCap	4000
	NumPlayers	4
	InvalidCrates   armour meteor speedup slowdown darwinians
	Difficulty	advanced
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 2000
	worldSizeZ 2000
	cellSize 12.00
	outsideHeight -10.00
	landColourFile landscape_default.bmp
	wavesColourFile waves_default.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	   875  26.00   1750    250  1.20   1.00     32      0      1   1.00     0
	   875  26.00      0    250  1.20   1.00     32      0      1   1.00     0
	     0  26.00    875    250  1.20   1.00     32      0      1   1.00     0
	  1750  26.00    875    250  1.20   1.00     32      0      1   1.00     0
	  1510  26.00    875    250  1.20   1.00     32      0      1   1.00     0
	  1270  26.00    875    250  1.20   1.00     32      0      1   1.00     0
	  1040  26.00    875    250  1.20   1.00     32      0      1   1.00     0
	   720  26.00    875    250  1.20   1.00     32      0      1   1.00     0
	   240  26.00    875    250  1.20   1.00     32      0      1   1.00     0
	   480  26.00    875    250  1.20   1.00     32      0      1   1.00     0
	   875  26.00    240    250  1.20   1.00     32      0      1   1.00     0
	   875  26.00    480    250  1.20   1.00     32      0      1   1.00     0
	   875  26.00    720    250  1.20   1.00     32      0      1   1.00     0
	   875  26.00   1510    250  1.20   1.00     32      0      1   1.00     0
	   875  26.00   1270    250  1.20   1.00     32      0      1   1.00     0
	   875  26.00   1040    250  1.20   1.00     32      0      1   1.00     0
	  1510  26.00   1115    250  1.20   1.00     32      0      1   1.00     0
	  1510  26.00   1355    250  1.20   1.00     32      0      1   1.00     0
	  1115  26.00   1510    250  1.20   1.00     32      0      1   1.00     0
	  1355  26.00   1510    250  1.20   1.00     32      0      1   1.00     0
	   635  26.00   1510    250  1.20   1.00     32      0      1   1.00     0
	   395  26.00   1510    250  1.20   1.00     32      0      1   1.00     0
	   240  26.00   1115    250  1.20   1.00     32      0      1   1.00     0
	   240  26.00   1355    250  1.20   1.00     32      0      1   1.00     0
	   800  26.00    800    400  1.20   1.00     32      0      1   1.00     0
	  1115  26.00    240    250  1.20   1.00     32      0      1   1.00     0
	  1355  26.00    240    250  1.20   1.00     32      0      1   1.00     0
	   635  26.00    240    250  1.20   1.00     32      0      1   1.00     0
	   395  26.00    240    250  1.20   1.00     32      0      1   1.00     0
	  1510  26.00    635    250  1.20   1.00     32      0      1   1.00     0
	  1510  26.00    395    250  1.20   1.00     32      0      1   1.00     0
	   240  26.00    635    250  1.20   1.00     32      0      1   1.00     0
	   240  26.00    395    250  1.20   1.00     32      0      1   1.00     0
	    20  26.00   1875    125  1.20   1.00     32      0      1   1.00     0
	    20  26.00     20    125  1.20   1.00     32      0      1   1.00     0
	  1875  26.00   1875    125  1.20   1.00     32      0      1   1.00     0
	  1875  26.00     20    125  1.20   1.00     32      0      1   1.00     0
	  1875  26.00   1752    125  1.20   1.00     32      0      1   1.00     0
	  1760  26.00   1875    125  1.20   1.00     32      0      1   1.00     0
	   135  26.00   1875    125  1.20   1.00     32      0      1   1.00     0
	    20  26.00   1760    125  1.20   1.00     32      0      1   1.00     0
	    20  26.00    135    125  1.20   1.00     32      0      1   1.00     0
	   135  26.00     20    125  1.20   1.00     32      0      1   1.00     0
	  1760  26.00     20    125  1.20   1.00     32      0      1   1.00     0
	  1875  26.00    135    125  1.20   1.00     32      0      1   1.00     0
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	 -0.08   0.15   0.99     2.00   1.30   1.00
	 -0.75   0.57   0.32     0.89   0.89   0.99
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================

	SpawnPoint          8       1689.18 631.02  255     -1.00   0.00    0       
	SpawnPoint          9       1362.64 290.46  255     0.00    1.00    0       
	SpawnPoint          10      645.16  290.73  255     0.00    1.00    0       
	SpawnPoint          11      291.05  639.57  255     1.00    0.00    0       
	SpawnPoint          12      291.28  1361.39 255     1.00    0.00    0       
	SpawnPoint          13      640.99  1688.53 255     0.00    -1.00   0       
	SpawnPoint          14      1360.29 1689.15 255     0.00    -1.00   0       
	SpawnPoint          15      1687.64 1355.88 255     -1.00   0.00    0       


	GunTurret           36      1116.67 815.70  255     1.00    0.00    0       
	GunTurret           37      1176.54 863.98  255     1.00    0.00    0       
	GunTurret           38      864.06  815.18  255     1.00    0.00    0       
	GunTurret           39      815.73  851.46  255     1.00    0.00    0       
	GunTurret           40      815.62  1115.89 255     1.00    0.00    0       
	GunTurret           41      875.81  1175.96 255     1.00    0.00    0       
	GunTurret           42      1122.08 1175.94 255     1.00    0.00    0       
	GunTurret           43      1175.70 1116.15 255     1.00    0.00    0       
