MultiwiniaOptions_StartDefinition
	GameTypes	Domination 
	PopulationCap	4000
	NumPlayers	4
	InvalidCrates   slowdown speedup armour
	Difficulty	advanced
	CoopMode
	CoopGroup1Positions	0 2
	CoopGroup2Positions	1 3
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 3030
	worldSizeZ 3030
	cellSize 12.00
	outsideHeight -10.00
	landColourFile landscape_earth.bmp
	wavesColourFile waves_earth.bmp
	waterColourFile water_icecaps.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	    15   8.00     15    405  1.20   1.00     35      0      1   1.00     0
	    15   8.00    880    405  1.20   1.00     35      0      2   1.00     0
	    15   8.00   2610    405  1.20   1.00     35      0      3   1.00     0
	   880   8.00   2610    405  1.20   1.00     35      0      4   1.00     0
	  2610   8.00   2610    405  1.20   1.00     35      0      5   1.00     0
	  2610   8.00   1745    405  1.20   1.00     35      0      6   1.00     0
	  2610   8.00     15    405  1.20   1.00     35      0      7   1.00     0
	  1745   8.00     15    405  1.20   1.00     35      0      8   1.00     0
	   880   8.00    880    405  1.20   1.00     35      0      9   1.00     0
	  1745   8.00    880    405  1.20   1.00     35      0     10   1.00     0
	  1745   8.00   1745    405  1.20   1.00     35      0     11   1.00     0
	   880   8.00   1745    405  1.20   1.00     35      0     12   1.00     0
	   161   8.00    149    350  1.20   1.00     20      0     13   1.00     0
	   234   8.00    211    350  1.20   1.00     20      0     14   1.00     0
	   289   8.00    269    350  1.20   1.00     20      0     15   1.00     0
	   346   8.00    328    350  1.20   1.00     20      0     16   1.00     0
	   401   8.00    386    350  1.20   1.00     20      0     17   1.00     0
	   457   8.00    444    350  1.20   1.00     20      0     18   1.00     0
	   519   8.00    508    350  1.20   1.00     20      0     19   1.00     0
	   571   8.00    563    350  1.20   1.00     20      0     20   1.00     0
	   633   8.00    628    350  1.20   1.00     20      0     21   1.00     0
	   702   8.00    703    350  1.20   1.00     20      0     22   1.00     0
	   779   8.00    784    350  1.20   1.00     20      0     23   1.00     0
	   149   8.00   1045    350  1.20   1.00     20      0     24   1.00     0
	   198   8.00   1097    350  1.20   1.00     20      0     25   1.00     0
	   258   8.00   1158    350  1.20   1.00     20      0     26   1.00     0
	   315   8.00   1217    350  1.20   1.00     20      0     27   1.00     0
	   371   8.00   1275    350  1.20   1.00     20      0     28   1.00     0
	   425   8.00   1331    350  1.20   1.00     20      0     29   1.00     0
	   483   8.00   1390    350  1.20   1.00     20      0     30   1.00     0
	   537   8.00   1446    350  1.20   1.00     20      0     31   1.00     0
	   594   8.00   1505    350  1.20   1.00     20      0     32   1.00     0
	   652   8.00   1565    350  1.20   1.00     20      0     33   1.00     0
	   709   8.00   1624    350  1.20   1.00     20      0     34   1.00     0
	   772   8.00   1690    350  1.20   1.00     20      0     35   1.00     0
	   -12   8.00    237    350  1.20   1.00     20      0     36   1.00     0
	   -12   8.00    330    350  1.20   1.00     20      0     37   1.00     0
	    -9   8.00    435    350  1.20   1.00     20      0     38   1.00     0
	   -10   8.00    526    350  1.20   1.00     20      0     39   1.00     0
	   -11   8.00    614    350  1.20   1.00     20      0     40   1.00     0
	   -12   8.00    705    350  1.20   1.00     20      0     41   1.00     0
	   -14   8.00    792    350  1.20   1.00     20      0     42   1.00     0
	   154   8.00   2519    350  1.20   1.00     20      0     43   1.00     0
	   226   8.00   2447    350  1.20   1.00     20      0     44   1.00     0
	   296   8.00   2377    350  1.20   1.00     20      0     45   1.00     0
	   363   8.00   2310    350  1.20   1.00     20      0     46   1.00     0
	   428   8.00   2246    350  1.20   1.00     20      0     47   1.00     0
	   490   8.00   2184    350  1.20   1.00     20      0     48   1.00     0
	   550   8.00   2125    350  1.20   1.00     20      0     49   1.00     0
	   608   8.00   2066    350  1.20   1.00     20      0     50   1.00     0
	   673   8.00   2002    350  1.20   1.00     20      0     51   1.00     0
	   731   8.00   1944    350  1.20   1.00     20      0     52   1.00     0
	   795   8.00   1881    350  1.20   1.00     20      0     53   1.00     0
	  1023   8.00   2515    350  1.20   1.00     20      0     54   1.00     0
	  1085   8.00   2452    350  1.20   1.00     20      0     55   1.00     0
	  1148   8.00   2389    350  1.20   1.00     20      0     56   1.00     0
	  1209   8.00   2328    350  1.20   1.00     20      0     57   1.00     0
	  1273   8.00   2263    350  1.20   1.00     20      0     58   1.00     0
	  1337   8.00   2198    350  1.20   1.00     20      0     59   1.00     0
	  1399   8.00   2136    350  1.20   1.00     20      0     60   1.00     0
	  1459   8.00   2075    350  1.20   1.00     20      0     61   1.00     0
	  1521   8.00   2013    350  1.20   1.00     20      0     62   1.00     0
	  1583   8.00   1951    350  1.20   1.00     20      0     63   1.00     0
	  1646   8.00   1888    350  1.20   1.00     20      0     64   1.00     0
	   246   8.00   2727    350  1.20   1.00     20      0     65   1.00     0
	   341   8.00   2725    350  1.20   1.00     20      0     66   1.00     0
	   432   8.00   2726    350  1.20   1.00     20      0     67   1.00     0
	   523   8.00   2728    350  1.20   1.00     20      0     68   1.00     0
	   609   8.00   2729    350  1.20   1.00     20      0     69   1.00     0
	   690   8.00   2731    350  1.20   1.00     20      0     70   1.00     0
	   778   8.00   2732    350  1.20   1.00     20      0     71   1.00     0
	  2519   8.00   2522    350  1.20   1.00     20      0     72   1.00     0
	  2460   8.00   2462    350  1.20   1.00     20      0     73   1.00     0
	  2396   8.00   2397    350  1.20   1.00     20      0     74   1.00     0
	  2335   8.00   2334    350  1.20   1.00     20      0     75   1.00     0
	  2275   8.00   2272    350  1.20   1.00     20      0     75   1.00     0
	  2213   8.00   2208    350  1.20   1.00     20      0     76   1.00     0
	  2151   8.00   2146    350  1.20   1.00     20      0     77   1.00     0
	  2096   8.00   2089    350  1.20   1.00     20      0     78   1.00     0
	  2036   8.00   2027    350  1.20   1.00     20      0     79   1.00     0
	  1973   8.00   1963    350  1.20   1.00     20      0     80   1.00     0
	  1903   8.00   1891    350  1.20   1.00     20      0     81   1.00     0
	  2513   8.00   1652    350  1.20   1.00     20      0     82   1.00     0
