MultiwiniaOptions_StartDefinition
	GameTypes	Domination 
	PopulationCap	4000
	NumPlayers	3
	InvalidCrates   slowdown speedup armour
	Difficulty	advanced
	PlayTime	0
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 4000
	worldSizeZ 4000
	cellSize 12.00
	outsideHeight -10.00
	landColourFile landscape_earth.bmp
	wavesColourFile waves_yellow.bmp
	waterColourFile water_yellow.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	     8   0.00      8   4000  1.20   1.00     70      0      1   1.00     5   AAAAAAAAAAAAAAAHCLELFJGOGGFEFJGEFHEIEFEADECIBGAAAAAAAAAAAAAAAAAAAAAAAAAAAABJEFFGENECCJCECDFAFKCKCKDEEBEFFKGEEEBHAAAAAAAAAAAAAAAAAAAAAABLFKEICJBHALAAAAAAEBFKAAABAEAHALBACGEJENBHAAAAAAAAAAAAAAAAAABBFDEJCDAKAAAAAAAAAADMFKAAAAAAAAAAAAAIBHDLFFBGAAAAAAAAAAAAAAAGEDENBJAKAAAAAAAAAAAADPGIAAAAAAAAAAAAAAABAOEOELABAAAAAAAAAAAABKFICHAHAAAAAAAAAAAAAADHGDAAAAAAAAAAAAAAAAAABDGBCLAAAAAAAAAAACEBEKAMAAAAAAAAAABIDIEIGOHLFHEKCNBDAAAAAAAAAAAAEAGBABAAAAAAAABIFNCIABAAAAAABCEKFIEOELEHEEEAEFGBGADKANAAAAAAAABFGCBIAAAAAAAADOENAMAAAAAABFFDEJAPAAAAAAAAAAAAAOCOFNFJAOAAAAAAAAFCDDAAAAAABFFKCHAEAAAAAAEHFMBLAAAAAAAAAAAAAAAAAAANFAEIAAAAAAAADPEIAAAAAADIFEBEAAAAAABDGLFEFCBFAAAAAAAAAAAAAAAABIDLHMCCAAAAAADBGLADAAABFBDFAPAAAAAADDFJBDEGFCBPAAAAAAAAAAAKDGFJDDFNDPAAAAAABFHMCAAAAJGBCAAIAAAAAAFJENAAAEDEGEEGDCDECPDDGCENBIAADEFNAAAAAAAKGICJAABKGOBNAAAAAAAAHGEHAAAAAABJHIJMFMGJGHDCADAAAACGFCAAAAAAAAFFDIAABGGKBKAAAAAAAAGLDMAAAAAAAADGGKHCHJCIAAAAAAAACFEDAAAAAAAAEJDOAABFHECFADAAAAAAFCDMAAAAAAAACNFHKBFEAGAAAAAAAACIEEAAAAAAAAEDDPAABAGLBKAAAAAAAAEFFOAAAAAAAEAMEBIIBBAAAAAAAAAADCDNAAAAAAAAECDPAAADFNCEAAAAAAAABOHEBEAAAAAAAACNGNAJAAAAAAAAAAEGCJAAAAAAAAEGDJAAAEEODGAAAAAAAAAHGIEPAKAAAAAABLFBAJAAAAAAAABDHBCLAAAAAAAIEIDDAAAACPFAAAAAACDBFIEMFFDOAKAAAABCEIAHAAAAAAAPDKHDFHBEAAAAANFMCIAAAABNFOANAEECFMCHABCEEODBABAABAFDAEAAAJBNEBDJBFEKGFCKAFDGGIAKAAAAAJFEDKFKFGBBAAAAAGCAFLEPCPBMFMCIDIENEECNAPAAAEEBGACEFMEJAAAAAAAEEKIDEBADAAAAAAAAADBNFAFOFDGBEKEACLANAAAAAAAAAKCNENFLBFAAAAAAAABOGJCKAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPFNDAAAAAAAAAAAAACOFIBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABFCEMAHAAAAAAAAAAAAACEJFLBCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIDMFEAOAAAAAAAAAAAAAAAAAIEOHJDFAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPENEPBCAAAAAAAAAAAAAAAAAAAAAADLGPFNCAADAAAAAAAAAAAAAAAAACAMDGGHFDBCAAAAAAAAAAAAAAAAAAAAAAAAAAANEIGMFKDMBNBBAOBBBNCJDFDPFKFLDIACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABMDNFOFPGDGFHJGKFAEJDLCJAGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAIBABIANAMALAGAAAAAAAAAAAAAAAAAAAAAA
	  1026   0.00   2823    200  1.20   1.00    300      2      1   1.00     0
	  1102   0.00   3043    200  1.20   1.00    300      2      2   1.00     0
	  1389   0.00   3070    200  1.20   1.00    300      2      3   1.00     0
	  1530   0.00   3257    200  1.20   1.00    300      2      4   1.00     0
	  2129   0.00   3153    200  1.20   1.00    300      2      5   1.00     0
	  2346   0.00   3101    200  1.20   1.00    300      2      6   1.00     0
	  2594   0.00   3026    200  1.20   1.00    300      2      7   1.00     0
	  2808   0.00   2899    200  1.20   1.00    300      2      8   1.00     0
	  3190   0.00   2201    200  1.20   1.00    300      2      9   1.00     0
	  3211   0.00   1985    200  1.20   1.00    300      2     10   1.00     0
	  3212   0.00   1753    200  1.20   1.00    300      2     11   1.00     0
	  3209   0.00   1519    200  1.20   1.00    300      2     12   1.00     0
	  3029   0.00    960    200  1.20   1.00    300      2     13   1.00     0
	  2819   0.00    679    200  1.20   1.00    300      2     14   1.00     0
	  2555   0.00    536    200  1.20   1.00    300      2     15   1.00     0
	  2274   0.00    449    200  1.20   1.00    300      2     16   1.00     0
	  1462   0.00    454    200  1.20   1.00    300      2     17   1.00     0
	  1246   0.00    547    200  1.20   1.00    300      2     18   1.00     0
	  1072   0.00    700    200  1.20   1.00    300      2     19   1.00     0
	   882   0.00    877    200  1.20   1.00    300      2     20   1.00     0
	   633   0.00   1379    200  1.20   1.00    300      2     21   1.00     0
	   569   0.00   1640    200  1.20   1.00    300      2     22   1.00     0
	   549   0.00   1867    200  1.20   1.00    300      2     23   1.00     0
	   565   0.00   2147    200  1.20   1.00    300      2     24   1.00     0
	  1329   0.00   1797    200  1.20   1.00    300      2     25   1.00     0
	  1388   0.00   1997    200  1.20   1.00    300      2     26   1.00     0
	  1514   0.00   2284    200  1.20   1.00    300      2     27   1.00     0
	  2216   0.00   2347    200  1.20   1.00    300      2     28   1.00     0
