MultiwiniaOptions_StartDefinition
	GameTypes	Domination 
	PopulationCap	4000
	NumPlayers	4
	InvalidCrates   slowdown speedup armour meteor
	Difficulty	advanced
	CoopMode
	CoopGroup1Positions	0 2
	CoopGroup2Positions	1 3
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 3000
	worldSizeZ 3000
	cellSize 12.00
	outsideHeight -8.00
	landColourFile landscape_icecaps.bmp
	wavesColourFile waves_icecaps.bmp
	waterColourFile water_icecaps.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	  2475   0.00   1962    530  1.20   1.00     30      0      1   1.00     0
	    11   0.00   1996    530  1.20   1.00     30      0      4   1.00     0
	  1296   0.00   1990    530  1.20   1.00     30      0      9   1.00     0
	  2460   0.00      5    530  1.20   1.00     30      0     46   1.00     0
	  1300   0.00     22    530  1.20   1.00     30      0     56   1.00     0
	    13   0.00     13    530  1.20   1.00     30      0     62   1.00     0
	    12   0.00    660    374  1.20   1.00     32      0      1   1.01     0
	    17   0.00    795    374  1.20   1.00     32      0      1   1.01     0
	    13   0.00    900    374  1.20   1.00     32      0      1   1.01     0
	    12   0.00   1000    374  1.20   1.00     32      0      1   1.01     0
	    13   0.00   1111    374  1.20   1.00     32      0      1   1.01     0
	    12   0.00   1213    374  1.20   1.00     32      0      1   1.01     0
	    13   0.00   1335    374  1.20   1.00     32      0      1   1.01     0
	  1533   0.00   1144    250  1.20   1.00     30      0      9   1.00     0
	   984   0.00    926    374  1.20   1.00     32      0      1   1.01     0
	   983   0.00    792    374  1.20   1.00     32      0      1   1.01     0
	  1073   0.00    791    374  1.20   1.00     32      0      1   1.01     0
	  1171   0.00    790    374  1.20   1.00     32      0      1   1.01     0
	  1279   0.00    789    374  1.20   1.00     32      0      1   1.01     0
	  1389   0.00    788    374  1.20   1.00     32      0      1   1.01     0
	  1491   0.00    786    374  1.20   1.00     32      0      1   1.01     0
	  1622   0.00    787    374  1.20   1.00     32      0      1   1.01     0
	  1786   0.00    784    374  1.20   1.00     32      0      1   1.01     0
	  1793   0.00    897    374  1.20   1.00     32      0      1   1.01     0
	  1789   0.00   1241    374  1.20   1.00     32      0      1   1.01     0
	  1790   0.00   1381    374  1.20   1.00     32      0      1   1.01     0
	  1671   0.00   1384    374  1.20   1.00     32      0      1   1.01     0
	  1563   0.00   1383    374  1.20   1.00     32      0      1   1.01     0
	  1448   0.00   1384    374  1.20   1.00     32      0      1   1.01     0
	  1338   0.00   1384    374  1.20   1.00     32      0      1   1.01     0
	  1228   0.00   1384    374  1.20   1.00     32      0      1   1.01     0
	  1116   0.00   1385    374  1.20   1.00     32      0      1   1.01     0
	  1001   0.00   1385    374  1.20   1.00     32      0      1   1.01     0
	   997   0.00   1238    374  1.20   1.00     32      0      1   1.01     0
	  1359   0.00   1139    250  1.20   1.00     30      0      9   1.00     0
	  1452   0.00   1140    250  1.20   1.00     30      0      9   1.00     0
	   988   0.00   1058    374  1.20   1.00     32      0      1   1.01     0
	  1776   0.00   1058    374  1.20   1.00     32      0      1   1.01     0
	  1898   0.00   1065    374  1.20   1.00     32      0      1   1.01     0
	  2008   0.00   1065    374  1.20   1.00     32      0      1   1.01     0
	  2108   0.00   1066    374  1.20   1.00     32      0      1   1.01     0
	  2213   0.00   1052    374  1.20   1.00     32      0      1   1.01     0
	  2343   0.00   1056    374  1.20   1.00     32      0      1   1.01     0
	  2471   0.00   1053    374  1.20   1.00     32      0      1   1.01     0
	   877   0.00   1052    374  1.20   1.00     32      0      1   1.01     0
	   755   0.00   1052    374  1.20   1.00     32      0      1   1.01     0
	   649   0.00   1051    374  1.20   1.00     32      0      1   1.01     0
	   524   0.00   1052    374  1.20   1.00     32      0      1   1.01     0
	   399   0.00   1052    374  1.20   1.00     32      0      1   1.01     0
	   289   0.00   1050    374  1.20   1.00     32      0      1   1.01     0
	   130   0.00   1052    374  1.20   1.00     32      0      1   1.01     0
	  1789   0.00   1528    374  1.20   1.00     32      0      1   1.01     0
	  1924   0.00   1552    374  1.20   1.00     32      0      1   1.01     0
	  2020   0.00   1551    374  1.20   1.00     32      0      1   1.01     0
	  2126   0.00   1551    374  1.20   1.00     32      0      1   1.01     0
	  2221   0.00   1553    374  1.20   1.00     32      0      1   1.01     0
	   983   0.00   1540    374  1.20   1.00     32      0      1   1.01     0
	   867   0.00   1540    374  1.20   1.00     32      0      1   1.01     0
	   744   0.00   1539    374  1.20   1.00     32      0      1   1.01     0
	  1405   0.00   1528    374  1.20   1.00     32      0      1   1.01     0
	  1387   0.00    619    374  1.20   1.00     32      0      1   1.01     0
	   961   0.00    613    374  1.20   1.00     32      0      1   1.01     0
	   827   0.00    613    374  1.20   1.00     32      0      1   1.01     0
	   719   0.00    614    374  1.20   1.00     32      0      1   1.01     0
	  1784   0.00    609    374  1.20   1.00     32      0      1   1.01     0
	  1889   0.00    608    374  1.20   1.00     32      0      1   1.01     0
	  1991   0.00    608    374  1.20   1.00     32      0      1   1.01     0
	  2094   0.00    607    374  1.20   1.00     32      0      1   1.01     0
	  2214   0.00    607    374  1.20   1.00     32      0      1   1.01     0
	    13   0.00    546    374  1.20   1.00     32      0      1   1.01     0
	    13   0.00    418    374  1.20   1.00     32      0      1   1.01     0
	    12   0.00    270    374  1.20   1.00     32      0      1   1.01     0
	    14   0.00   1464    374  1.20   1.00     32      0      1   1.01     0
	    13   0.00   1593    374  1.20   1.00     32      0      1   1.01     0
	    11   0.00   1718    374  1.20   1.00     32      0      1   1.01     0
	    10   0.00   1841    374  1.20   1.00     32      0      1   1.01     0
	     6   0.00   1931    374  1.20   1.00     32      0      1   1.01     0
	  2604   0.00   1569    374  1.20   1.00     32      0      1   1.01     0
	  2611   0.00   1718    374  1.20   1.00     32      0      1   1.01     0
	  2612   0.00   1865    374  1.20   1.00     32      0      1   1.01     0
	  2603   0.00    590    374  1.20   1.00     32      0      1   1.01     0
	  2598   0.00    408    374  1.20   1.00     32      0      1   1.01     0
	  2597   0.00    255    374  1.20   1.00     32      0      1   1.01     0
	  1404   0.00   1623    374  1.20   1.00     32      0      1   1.01     0
	  1402   0.00   1755    374  1.20   1.00     32      0      1   1.01     0
	  1406   0.00   1875    374  1.20   1.00     32      0      1   1.01     0
	  1380   0.00    492    374  1.20   1.00     32      0      1   1.01     0
	  1379   0.00    299    374  1.20   1.00     32      0      1   1.01     0
	  2334   0.00    601    374  1.20   1.00     32      0      1   1.01     0
	  2464   0.00    600    374  1.20   1.00     32      0      1   1.01     0
	  2313   0.00   1547    374  1.20   1.00     32      0      1   1.01     0
	  2443   0.00   1557    374  1.20   1.00     32      0      1   1.01     0
	  2598   0.00    712    374  1.20   1.00     32      0      1   1.01     0
	  2594   0.00    850    374  1.20   1.00     32      0      1   1.01     0
	  2592   0.00    982    374  1.20   1.00     32      0      1   1.01     0
	  2590   0.00   1093    374  1.20   1.00     32      0      1   1.01     0
	  2587   0.00   1225    374  1.20   1.00     32      0      1   1.01     0
	  2583   0.00   1385    374  1.20   1.00     32      0      1   1.01     0
	   584   0.00    599    374  1.20   1.00     32      0      1   1.01     0
	   448   0.00    598    374  1.20   1.00     32      0      1   1.01     0
	   319   0.00    596    374  1.20   1.00     32      0      1   1.01     0
	   148   0.00    594    374  1.20   1.00     32      0      1   1.01     0
	   626   0.00   1529    374  1.20   1.00     32      0      1   1.01     0
	   504   0.00   1530    374  1.20   1.00     32      0      1   1.01     0
	   386   0.00   1530    374  1.20   1.00     32      0      1   1.01     0
	   266   0.00   1531    374  1.20   1.00     32      0      1   1.01     0
	   134   0.00   1532    374  1.20   1.00     32      0      1   1.01     0
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	 -0.08   0.15   0.99     2.00   1.30   1.00
	 -0.75   0.57   0.32     0.89   0.89   0.99
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	SpawnPoint          0       192.10  261.71  0       0.58    0.81    0       
	SpawnPoint          1       287.99  193.02  0       -0.03   1.00    0       
	SpawnPoint          2       2712.09 191.28  1       -0.23   0.97    0       
	SpawnPoint          3       2786.61 245.74  1       -0.79   0.61    0       
	SpawnPoint          4       2762.01 2307.61 2       -0.32   -0.95   0       
	SpawnPoint          5       2813.93 2224.45 2       -0.83   -0.56   0       
	SpawnPoint          6       260.90  2361.68 3       0.27    -0.96   0       
	SpawnPoint          7       172.34  2287.18 3       0.97    -0.25   0       
	SpawnPoint          8       1480.19 203.04  255     0.33    0.94    0       
	SpawnPoint          9       1590.78 173.00  255     -0.35   0.94    0       
	SpawnPoint          11      1575.34 2336.43 255     0.36    -0.93   0       
	SpawnPoint          12      646.22  1773.30 255     -0.03   -1.00   0       
	SpawnPoint          13      2369.57 1804.71 255     0.07    -1.00   0       
	SpawnPoint          14      2362.03 705.98  255     0.04    1.00    0       
	SpawnPoint          15      735.55  690.97  255     0.02    1.00    0       
	SpawnPoint          16      1939.99 1240.08 255     1.00    0.00    0       
	SpawnPoint          17      1199.05 1233.31 255     -1.00   -0.09   0       
	SpawnPointMaster    18      1583.59 1258.87 255     -0.03   -1.00   0       76    
	SpawnLink           19      1432.80 1257.80 255     1.00    0.00    0       20    49    
	SpawnLink           20      1243.41 1155.91 255     1.00    0.00    0       21    22    17    
	SpawnLink           21      1077.69 1123.44 255     1.00    0.00    0       36    24    
	SpawnLink           22      1079.83 1330.47 255     1.00    0.00    0       29    23    
	SpawnLink           23      1066.27 1606.89 255     1.00    0.00    0       27    
	SpawnLink           24      1037.22 892.03  255     1.00    0.00    0       28    
	SpawnLink           27      753.48  1608.73 255     1.00    0.00    0       12    
	SpawnLink           28      726.84  894.28  255     1.00    0.00    0       15    
	SpawnLink           29      918.94  1132.02 255     1.00    0.00    0       35    
	SpawnLink           30      743.10  1132.23 255     1.00    0.00    0       34    
	SpawnLink           31      568.11  1130.65 255     1.00    0.00    0       33    
	SpawnLink           32      366.95  1135.91 255     1.00    0.00    0       37    67    
	SpawnLink           33      365.84  1326.54 255     1.00    0.00    0       40    
	SpawnLink           34      557.19  1328.22 255     1.00    0.00    0       32    
	SpawnLink           35      736.04  1329.80 255     1.00    0.00    0       31    
	SpawnLink           36      918.40  1324.58 255     1.00    0.00    0       30    
	SpawnLink           37      104.16  971.75  255     1.00    0.00    0       38    
	SpawnLink           38      110.01  660.36  255     1.00    0.00    0       39    
	SpawnLink           39      309.57  451.63  255     1.00    0.00    0       0     1     
	SpawnLink           40      105.55  1516.70 255     1.00    0.00    0       41    
	SpawnLink           41      108.82  1816.52 255     1.00    0.00    0       42    
	SpawnLink           42      288.30  2100.03 255     1.00    0.00    0       7     6     
	SpawnLink           43      1732.88 1265.76 255     1.00    0.00    0       48    44    
	SpawnLink           44      1898.85 1313.27 255     1.00    0.00    0       16    58    53    
	SpawnLink           45      1715.56 1666.90 255     1.00    0.00    0       46    
	SpawnLink           46      1505.86 1803.69 255     1.00    0.00    0       47    
	SpawnLink           47      1442.71 2130.65 255     1.00    0.00    0       11    10    
	SpawnLink           48      1712.49 1465.11 255     1.00    0.00    0       45    
	SpawnLink           49      1431.82 1075.44 255     1.00    0.00    0       50    
	SpawnLink           50      1431.54 868.77  255     1.00    0.00    0       51    
	SpawnLink           51      1639.27 712.41  255     1.00    0.00    0       52    
	SpawnLink           52      1644.61 404.70  255     1.00    0.00    0       9     8     
	SpawnLink           53      2078.10 1133.57 255     1.00    0.00    0       61    66    
	SpawnLink           54      2635.66 1117.37 255     1.00    0.00    0       71    
	SpawnLink           55      2353.14 1131.66 255     1.00    0.00    0       62    
	SpawnLink           56      2488.10 1131.87 255     1.00    0.00    0       59    
	SpawnLink           57      2211.52 1133.59 255     1.00    0.00    0       60    
	SpawnLink           58      2076.87 1342.98 255     1.00    0.00    0       57    63    
	SpawnLink           59      2637.50 1326.98 255     1.00    0.00    0       69    64    
	SpawnLink           60      2354.84 1340.71 255     1.00    0.00    0       56    
	SpawnLink           61      2213.14 1341.54 255     1.00    0.00    0       55    
	SpawnLink           62      2491.23 1340.25 255     1.00    0.00    0       54    
	SpawnLink           63      2073.53 1616.59 255     1.00    0.00    0       65    
	SpawnLink           65      2362.50 1621.33 255     1.00    0.00    0       13    
	SpawnLink           66      2064.07 899.39  255     1.00    0.00    0       68    
	SpawnLink           68      2361.58 902.01  255     1.00    0.00    0       14    
	SpawnLink           69      2851.90 1601.99 255     1.00    0.00    0       70    
	SpawnLink           70      2864.40 1848.64 255     1.00    0.00    0       74    
	SpawnLink           71      2864.63 912.46  255     1.00    0.00    0       72    
	SpawnLink           72      2861.22 655.56  255     1.00    0.00    0       73    
	SpawnLink           73      2650.06 405.52  255     1.00    0.00    0       2     3     
	SpawnLink           74      2651.30 2059.13 255     1.00    0.00    0       5     4     
	AITarget            95      2746.82 2235.05 255     1.00    0.00    0       
	AITarget            96      2722.52 267.58  255     1.00    0.00    0       
	AITarget            97      271.85  277.66  255     1.00    0.00    0       
	AITarget            98      259.66  2259.25 255     1.00    0.00    0       
	AITarget            99      1570.79 2266.09 255     1.00    0.00    0       
	AITarget            100     1547.52 247.28  255     1.00    0.00    0       
	AITarget            101     723.16  1688.35 255     1.00    0.00    0       
	AITarget            102     2356.87 1737.19 255     1.00    0.00    0       
	AITarget            103     2321.31 807.12  255     1.00    0.00    0       
	AITarget            104     699.61  777.24  255     1.00    0.00    0       
	AITarget            105     2783.85 1742.98 255     1.00    0.00    0       
	AITarget            106     2751.87 1227.06 255     1.00    0.00    0       
	AITarget            107     2792.71 768.05  255     1.00    0.00    0       
	AITarget            108     2028.21 1242.42 255     1.00    0.00    0       
	AITarget            109     2359.14 1238.60 255     1.00    0.00    0       
	AITarget            110     1968.04 890.06  255     1.00    0.00    0       
	AITarget            111     1961.58 1624.51 255     1.00    0.00    0       
	AITarget            112     1576.55 1557.74 255     1.00    0.00    0       
	AITarget            113     1174.89 1629.39 255     1.00    0.00    0       
	AITarget            114     1168.29 873.03  255     1.00    0.00    0       
	AITarget            115     1564.15 968.58  255     1.00    0.00    0       
	AITarget            116     1123.09 1232.37 255     1.00    0.00    0       
	AITarget            117     686.84  1230.79 255     1.00    0.00    0       
	AITarget            118     206.72  1231.07 255     1.00    0.00    0       
	AITarget            119     185.74  763.18  255     1.00    0.00    0       
	AITarget            120     197.18  1713.62 255     1.00    0.00    0       
	AITarget            25      1547.78 608.05  255     1.00    0.00    0       
	AITarget            26      1584.48 1916.50 255     1.00    0.00    0       
	SpawnPoint          64      2823.26 1227.58 255     -1.00   -0.06   0       
	SpawnPoint          67      146.96  1230.62 255     1.00    0.00    0       
	Tree                75      1583.59 1258.87 255     1.00    0.00    0       250.00  1.00    1.00    1.00    6       9       -255        -65281      20      
	SpawnLink           76      1583.59 1258.87 255     1.00    0.00    0       43    19    
Buildings_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId
	# ==================================================================================
	Darwinian        4  1480.19 203.04   5    0      -1   0     0.0     0.0   -1   -1
	Darwinian        4  1590.78 173.00    5    0      -1   0     0.0     0.0   -1   -1
	Darwinian        5  1575.34 2336.43    5    0      -1   0     0.0     0.0   -1   -1      
InstantUnits_EndDefinition
