MultiwiniaOptions_StartDefinition
	GameTypes	Domination 
	PopulationCap	4000
	NumPlayers	3
	InvalidCrates   slowdown speedup armour
	Difficulty	advanced
	PlayTime	0
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 4000
	worldSizeZ 4000
	cellSize 12.00
	outsideHeight -10.00
	landColourFile landscape_shrine.bmp
	wavesColourFile waves_icecaps.bmp
	waterColourFile water_icecaps.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	     0 -11.00      0   4000  1.20   1.00     40      0      1   1.00     5   AAAAAAAAAAAAAAAGBCBEBDBEBEBDBDBDBEBEBEBEBEBEBEBEAHAAAAAAAAAAAAAAAAAAAAAAAAAAAABABEBEBDBEBEBEBEBEBDBDBFBDBABEBEAAAAAAAAAAAAAABGAAACAAAAAAAAAAAAALBEBDBEBDBEBDBDBBBDBGBFBEAOAAAAAAAAAAAAAAAABEBEAAAAAAAAAAAAAAAAANBDBEBEBEBEBEBDBDBBBEAKAAAAAAAAAAAAAAAAAABDBDBDAAAAAAAAAAAAAAAAAOBEBDBEBDBDBEBEBEAJAAAAAAAAAAAAAAAAACBDBDAHBBBEAAAAAAAAAAAAAAAAALBEBEBDBEBEBEAIAAAAAAAAAAAAAAAAAABEBDBEAHAGBDBCACAAAAAAAAAAAAAAANBDBDBDBBAFAAAAAAAAAAAAAAAAAGBDBEBEBEAGAAACBDBEAGAAAAAAAAAAAAAAAKBDBDABAAAAAAAAAAAAAAAAAEBDBEAGBDBEAHAAAAAABEBDACAAAAAAAAAAAAAABEBEAAAAAAAAAAAAAAAAAABDBEAAAHBEBDAIAAAAAAAABEBEAAAAAAAAAAAAAABEBEAAAAAAAAAAAAAAAABEBEABAAAPBEBDAJAAAAAAAAAGBDBDAAAAAAAAAAAABDBEAAAAAAAAAAAAAABEBDAAAAAAANBFBAAHAAAAAAAAAAAKBEBEAAAAAAAAAFBEBDAAAAAAAAAAAABEBEACAAAAAAAMBCBBAKAAAAAAAAAAAAALBEBCAAAAAAADBEBEAAAAAAAAAABBBEAJAAAAAAAAANBEBEAIAAAAAAAAAAAAAABDBEANAAAAAABEBEAAAAAAAABABEAPAAAAAAAAAAAPBEBEBEBDBFBEBFBDBEBDBDBEBDBEBEBEBEBEBEBEBEBEBEBDBEBEBFBEBEBEBFBEBFAPALAIAGAHAHAKAFBFBEAIAHAIAHBEBEAFAHAIAKBEBFAOAKAIAHAIAJBFBFBDAIAAAAAAAAAAAAAABFANAAAAAAAABDBEAAAAAAAAAHBEBEAAAAAAAAAABABEBEAIAAAAAAAAAAAABDAPAAAAAAAAAAAPBEAAAAAAAAAAALBDBDAAAAAAAAAOBDBEAKAAAAAAAAAFBDAPAAAAAAAAAAAAALBEAAAAAAAAAAAAANBDBDAAACAABDBEBEAJAAAAAAAABDAMAAAAAAAAAAAAAABDBEAJAAAAAAAAAAAAAMBEBEAAAABFBEBEAHAAAAALBEAPAAAAAAAAAAAAAABEBDBEBEAGAAAAAAAAAAAAAKBDBEAABBBDBDAKAAAIBEBEAAAAAAAAAAAAAABBBEAPBEAPBEAFAAAAAAAAAAAAANBEBEBBBEBEALACBEBEAAAAAAAAAAAAAAANBDAAALBEAABDBEACAAAAAAAAAAAAAJBEBEBFBEBFBDBEAAAAAAAAAAAAAAAIBDAMAAANBEAAAABDBEACAAAAAAAAAAAAAHBDBEBEBEBEAAAAAAAAAAAAAAAIBDAKAAAAAMBDAAAAAABEBEAIAAAAAAAAAAAAAABBBCBEAAAAAAAAAAAAAAACBEBAAAAAAAANBEAAAAAAAAAPBDAKAAAAAAAAAAAAAABDAAAAAAAAAAAAAAAABCBCAAAAAAAABBBEAAAAAAAAAAAKBEAKAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBDABAAAAAAAAAOBDAAAAAAAAAAAAAGBDAPAAAAAAAAAAAAAAAAAAAAAAAAAOBEAIAAAAAAAAAAALBDAAAAAAAAAAAAAAAJBDAPAAAAAAAAAAAAAAAAAAAABEBEAPAIAJAHAFAHAHAPBEAGAGAHAGAHAGANBBBFBDBFAAAAAAAAAAAAAAAABBBDBDBDBDBDBDBEBDBEBEBEBEBEBEBEBEBDBEBEBEBEBFAJAAAA
