MultiwiniaOptions_StartDefinition
	GameTypes	Domination 
	PopulationCap	8000
	DefenderPopulationCap	-1
        InvalidCrates   slowdown speedup armour
        LevelOptions    noradarcontrol
	NumPlayers	4
	Difficulty	advanced
	CoopMode
	CoopGroup1Positions	0 2 
	CoopGroup2Positions	1 3 
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 5241
	worldSizeZ 5241
	cellSize 25.00
	outsideHeight -10.00
	landColourFile landscape_field.bmp
	wavesColourFile waves_earth.bmp
	waterColourFile water_launchpad.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	   337   0.00    626    884  1.20   1.00     50      1 1873885   1.00     0
	  1369   0.00    958    615  1.20   1.00     50      1 1354967   1.00     0
	  1413   0.00   1635    434  1.20   1.00     50      1 1212472   1.00     0
	  2592   0.00   1157    857  1.20   1.00     50      1 771685   1.00     0
	  2388   0.00   1184    615  1.20   1.00     30      1 818751   1.00     0
	  2416   0.00   1646    615  1.20   1.00     50      1 861749   1.00     0
	  2506   0.00   1516    434  1.20   1.00     50      1 959096   1.00     0
	   472   0.00    906    759  1.20   1.00     50      1 1500446   1.00     0
	   297   0.00    822    872  1.20   1.00     50      1 2034447   1.00     0
	  1588   0.00   1817    339  1.20   1.00     50      1 1071009   1.00     0
	  1400   0.00   1585    273  1.20   1.00     20      1 1179506   1.00     0
	  1166   0.00    862    791  1.20   1.00     50      1 1322085   1.00     0
	   443   0.00   1421    791  1.20   1.00     50      1 1398316   1.00     0
	   918   0.00   1051    773  1.20   1.00     50      1 1434448   1.00     0
	   315   0.00    370    947  1.20   1.00     50      1 1932933   1.00     0
	  1104   0.00    938    725  1.20   1.00     50      1 1992781   1.00     0
	   506   0.00    989    753  1.20   1.00     50      1 1815620   1.00     0
	    16   0.00    447    615  1.20   1.00     50      1 1849819   1.00     0
	  2686   0.00    645    857  1.20   1.00     50      1 2068029   1.00     0
	  2932   0.00    544    800  1.20   1.00     50      1 2102411   1.00     0
	  3123   0.00    697    877  1.20   1.00     50      1 2102411   1.00     0
	  3294   0.00    575    937  1.20   1.00     50      1 2129644   1.00     0
	  2783   0.00    567    937  1.20   1.00     50      1 2129644   1.00     0
	   724   0.00     39    857  1.20   1.00     50      1 2205892   1.00     0
	  1474   0.00    872    615  1.20   1.00     50      1 1354967   1.00     0
	   376   0.00   1623    791  1.20   1.00     50      1 2271190   1.00     0
	   626   0.00   1753    791  1.20   1.00     50      1 2271190   1.00     0
	  2554   0.00   1761    791  1.20   1.00     50      1 1398316   1.00     0
	  2239   0.00   1885    791  1.20   1.00     50      1 2307422   1.00     0
	  3021   0.00   1760    791  1.20   1.00     50      1 2315322   1.00     0
	  3337   0.00   1592    791  1.20   1.00     50      1 2331354   1.00     0
	  3807   0.00    994   1131  1.20   1.00     50      1 2611396   1.00     0
	  3712   0.00    223   1131  1.20   1.00     50      1 2504033   1.00     0
	  3678   0.00    124    583  1.20   1.00     50      1 2504033   1.00     0
	  3810   0.00     76   1035  1.20   1.00     50      1 2504033   1.00     0
	  3506   0.00     44    583  1.20   1.00     50      1 2504033   1.00     0
	  3653   0.00     94    421  1.20   1.00     50      1 2558764   1.00     0
	  3779   0.00    177    421  1.20   1.00     50      1 2558764   1.00     0
	  3294   0.00    101    421  1.20   1.00     50      1 2558764   1.00     0
	  3138   0.00     44    421  1.20   1.00     50      1 2558764   1.00     0
	  3075   0.00    291    421  1.20   1.00     50      1 2558764   1.00     0
	  3793   0.00    443   1131  1.20   1.00     50      1 2399836   1.00     0
	  3204   0.00    978    791  1.20   1.00     50      1 2271190   1.00     0
	  3477   0.00   1166   1244  1.20   1.00     50      1 2611396   1.00     0
	  2748   0.00   1634   1458  1.20   1.00     50      1 2611396   1.00     0
	  2640   0.00   2020    955  1.20   1.00     50      1 2693910   1.00     0
	  4007   0.00   1705    955  1.20   1.00     50      1 2747192   1.00     0
	   725   0.00   2085    937  1.20   1.00     50      1 2611396   1.00     0
	  1330   0.00   2242    807  1.20   1.00     50      1 2777458   1.00     0
	   951   0.00   2794   1000  1.20   1.00     50      1 177812   1.00     0
	  2800   0.00   2532   1000  1.20   1.00     50      1 195951   1.00     0
	  2941   0.00   2726   1000  1.20   1.00     50      1 204207   1.00     0
	  1379   0.00    427    500  1.20   1.00     50      1 287281   1.00     0
