MultiwiniaOptions_StartDefinition
	Name		NewLevel
	GameTypes	Domination 
	PopulationCap	4000
	DefenderPopulationCap	-1
        InvalidCrates   slowdown speedup
        LevelOptions    noradarcontrol
	NumPlayers	4
	Difficulty	advanced
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 2000
	worldSizeZ 2000
	cellSize 12.00
	outsideHeight -10.00
	landColourFile landscape_dark.bmp
	wavesColourFile waves_default.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	   742   0.00   1154    764  1.20   1.00     50      0 374568   1.00     0
	   976   0.00   1146    214  1.20   1.00     30      0 485224   1.00     0
	  1284   0.00   1221    214  1.20   1.00     30      0 485224   1.00     0
	  1301   0.00   1368    214  1.20   1.00     30      0 485224   1.00     0
	   776   0.00   1210    214  1.20   1.00     30      0 485224   1.00     0
	   747   0.00    999    404  1.20   1.00     30      0 645000   1.00     0
	   699   0.00   1256    404  1.20   1.00     30      0 645000   1.00     0
	  1115   0.00   1359    404  1.20   1.00     30      0 645000   1.00     0
	   695   0.00   1576    414  1.20   1.00     30      1      1   1.00     0
	  1616   0.00    936    454  1.20   1.00     25      1 1120752   1.00     0
	  1236   0.00    181    694  1.20   1.00     50      0 1177318   1.00     0
	  1575   0.00    758    374  1.20   1.00     35      1 1248079   1.00     0
	  1630   0.00   1094    454  1.20   1.00     25      1 1120752   1.00     0
	  1415   0.00    -13    384  1.20   1.00     30      1 1291873   1.00     0
	   875   0.00    229    694  1.20   1.00     50      0 1177318   1.00     0
	  1046   0.00    790    284  1.20   1.00     30      0 1467648   1.00     0
	  1321   0.00    794    284  1.20   1.00     30      0 1467648   1.00     0
	   705   0.00    200    694  1.20   1.00     50      0 1820455   1.00     0
	   595   0.00    439    444  1.20   1.00     30      0 1866459   1.00     0
	   509   0.00    182    444  1.20   1.00     30      0 1866459   1.00     0
	   529   0.00    595    384  1.20   1.00     30      1 1904804   1.00     0
